num_edges,edge_list
12,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
12,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
13,"[(0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
11,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
11,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
11,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
12,"[(0, 5), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7)]"
8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
7,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6)]"
9,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]"
8,"[(0, 5), (0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
9,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
11,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (6, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (6, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
13,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
12,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
12,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
13,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
13,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
14,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
7,"[(0, 5), (1, 5), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
7,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
8,"[(0, 5), (0, 7), (1, 5), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
7,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7)]"
8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 7), (5, 6), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
12,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
10,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 6), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
12,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
11,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6)]"
11,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
12,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 6), (5, 7), (6, 7)]"
10,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (5, 7)]"
12,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]"
11,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6)]"
12,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]"
12,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
13,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (1, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (1, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
7,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (3, 7), (4, 7)]"
8,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
9,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
10,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
8,"[(0, 5), (0, 6), (0, 7), (1, 5), (2, 6), (3, 7), (4, 7), (5, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
9,"[(0, 5), (0, 6), (0, 7), (1, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
